time_s,mode,aoa_rad,max_aoa_rad,command_rad,packet_loss,abort_requested,abort_requested_at,is_finite
0.0,NOMINAL,0.0019291495852938889,0.20943951023931953,-0.0,0.0,False,,True
0.1,NOMINAL,0.001831014213006619,0.20943951023931953,-0.0025078944608820557,0.0,False,,True
0.2,NOMINAL,0.0006150582267885679,0.20943951023931953,-0.002380318476908605,0.0,False,,True
0.3,NOMINAL,0.002124344387857819,0.20943951023931953,-0.0007995756948251382,0.0,False,,True
0.4,NOMINAL,0.003286336370616488,0.20943951023931953,-0.002761647704215165,0.0,False,,True
0.5,NOMINAL,0.005302514228615267,0.20943951023931953,-0.0042722372818014345,0.0,False,,True
0.6,NOMINAL,0.004316024318053198,0.20943951023931953,-0.006893268497199847,0.0,False,,True
0.7,NOMINAL,0.0046419076150151254,0.20943951023931953,-0.005610831613469158,0.0,False,,True
0.8,NOMINAL,0.005644093058522078,0.20943951023931953,-0.006034479899519663,0.0,False,,True
0.9,NOMINAL,0.005319735972427,0.20943951023931953,-0.007337320976078702,0.0,False,,True
1.0,NOMINAL,0.004606491648254192,0.20943951023931953,-0.0069156567641551,0.0,False,,True
1.1,NOMINAL,0.00500025885256687,0.20943951023931953,-0.005988439142730451,0.0,False,,True
1.2,NOMINAL,0.0051453395430704416,0.20943951023931953,-0.006500336508336931,0.0,False,,True
1.3,NOMINAL,0.004536123539261383,0.20943951023931953,-0.006688941405991574,0.0,False,,True
1.4,NOMINAL,0.006765678051201669,0.20943951023931953,-0.005896960601039798,0.0,False,,True
1.5,NOMINAL,0.008367007352651997,0.20943951023931953,-0.008795381466562169,0.0,False,,True
1.6,NOMINAL,0.009832656825002437,0.20943951023931953,-0.010877109558447597,0.0,False,,True
1.7,NOMINAL,0.01248650828771635,0.20943951023931953,-0.012782453872503168,0.0,False,,True
1.8,NOMINAL,0.014833246668706106,0.20943951023931953,-0.016232460774031256,0.0,False,,True
1.9,NOMINAL,0.01564916593526332,0.20943951023931953,-0.019283220669317938,0.0,False,,True
2.0,NOMINAL,0.018031412173843003,0.20943951023931953,-0.02034391571584232,0.0,False,,True
2.1,NOMINAL,0.018657763225108672,0.20943951023931953,-0.023440835825995904,0.0,False,,True
2.2,NOMINAL,0.02154637740605128,0.20943951023931953,-0.024255092192641273,0.0,False,,True
2.3,NOMINAL,0.021894600654040176,0.20943951023931953,-0.028010290627866665,0.0,False,,True
2.4,NOMINAL,0.025047143078822554,0.20943951023931953,-0.02846298085025223,0.0,False,,True
2.5,NOMINAL,0.027999204603340086,0.20943951023931953,-0.03256128600246932,0.0,False,,True
2.6,NOMINAL,0.02901765618060798,0.20943951023931953,-0.03639896598434211,0.0,False,,True
2.7,NOMINAL,0.03056043959697972,0.20943951023931953,-0.037722953034790375,0.0,False,,True
2.8,NOMINAL,0.03335584145807253,0.20943951023931953,-0.039728571476073636,0.0,False,,True
2.9,NOMINAL,0.038367738795425134,0.20943951023931953,-0.04336259389549429,0.0,False,,True
3.0,NOMINAL,0.04289586048362963,0.20943951023931953,-0.04987806043405268,0.0,False,,True
3.1,NOMINAL,0.04656286690794614,0.20943951023931953,-0.055764618628718524,0.0,False,,True
3.2,NOMINAL,0.050648177295317474,0.20943951023931953,-0.060531726980329985,0.0,False,,True
3.3,NOMINAL,0.05478309575222363,0.20943951023931953,-0.06584263048391271,0.0,False,,True
3.4,NOMINAL,0.058815334200964464,0.20943951023931953,-0.07121802447789072,0.0,False,,True
3.5,NOMINAL,0.06585639587511109,0.20943951023931953,-0.0764599344612538,0.0,False,,True
3.6,NOMINAL,0.07435107143294363,0.20943951023931953,-0.08561331463764442,0.0,False,,True
3.7,NOMINAL,0.08189357911652084,0.20943951023931953,-0.09665639286282672,0.0,False,,True
3.8,NOMINAL,0.08864375709637644,0.20943951023931953,-0.1064616528514771,0.0,False,,True
3.9,NOMINAL,0.09811549579930365,0.20943951023931953,-0.11523688422528937,0.0,False,,True
4.0,NOMINAL,0.10831132926618121,0.20943951023931953,-0.12755014453909475,0.0,False,,True
4.1,NOMINAL,0.1209358999298662,0.20943951023931953,-0.14080472804603558,0.0,False,,True
4.2,NOMINAL,0.13237001627781833,0.20943951023931953,-0.15721666990882607,0.0,False,,True
4.3,NOMINAL,0.1449677608654208,0.20943951023931953,-0.17208102116116383,0.0,False,,True
4.4,NOMINAL,0.1600382870649096,0.20943951023931953,-0.18845808912504702,0.0,False,,True
4.5,NOMINAL,0.17620433584863215,0.20943951023931953,-0.2080497731843825,0.0,False,,True
4.6,NOMINAL,0.1933526735916235,0.20943951023931953,-0.2290656366032218,0.0,False,,True
4.7,NOMINAL,0.21465976392463704,0.20943951023931953,-0.25135847566911057,0.0,True,4.7,True
4.8,NOMINAL,0.2340301732361172,0.20943951023931953,-0.2617993877991494,0.0,True,4.7,True
4.9,NOMINAL,0.25479416005344263,0.20943951023931953,-0.2617993877991494,0.0,True,4.7,True
5.0,NOMINAL,0.27562868984419486,0.20943951023931953,-0.2617993877991494,0.0,True,4.7,True
