time_s,mode,aoa_rad,max_aoa_rad,command_rad,packet_loss,abort_requested,abort_requested_at,is_finite,altitude_m,velocity_m_s,acceleration_g,dynamic_pressure_Pa,mach,thrust_N,mass_kg,pitch_rad,flight_path_angle_rad,estimated_aoa_rad,estimation_error_rad,kf_innovation
0.0,NOMINAL,9.999999999621423e-06,0.20943951023931953,-0.013962634015954637,0.0,False,,True,0.050101848436767495,0.1,0.40939831512173036,0.006125000000000001,0.0002915451895043732,7600000.0,549679.012345679,1.5318869010911567,1.570786326794897,0.0032090720266714228,0.0031990720266718013,1.89334416831537
0.1,NOMINAL,-0.000408879020479036,0.20943951023931953,0.0,0.0,False,,True,0.14029505094507858,0.5013900417155472,0.41247407364193195,0.15397667644024998,0.0014617793733287642,7600000.0,549358.024691358,1.4895862699253068,1.5322957801116357,0.003658842331686077,0.004067721352165113,1.0482377618994745
0.2,NOMINAL,-0.000408879020479036,0.20943951023931953,0.013962634015954637,0.0,False,,True,0.27045233111303524,0.9048843364527817,0.4183888503933097,0.5015163154484142,0.0026381509281041223,7600000.0,549037.037037037,1.4439918123312796,1.4899951489457859,0.00013279120917133016,0.0005416702296503662,0.21058346892920465
0.3,NOMINAL,9.999999999621423e-06,0.20943951023931953,0.027925268031909273,0.0,False,,True,0.4402910881882348,1.312109288752689,0.42793755715930465,1.0544653047711872,0.0038254031815930277,7600000.0,548716.049382716,1.3953631358713312,1.44398181233128,0.0032582607390202814,0.00324826073902066,1.5208706116172972
0.4,NOMINAL,0.0008477580409569363,0.20943951023931953,0.04188790204786391,0.0,False,,True,0.6493351592726723,1.7251222956646477,0.44176729168397944,1.8227343295144633,0.005029536043129304,7600000.0,548395.0617283949,1.3440781795718002,1.3945153778303743,0.004014832480967805,0.0031670744400108686,0.672358945677537
0.5,NOMINAL,0.0021043951023929086,0.20943951023931953,0.05585053606381855,0.0,False,,True,0.8968806554339971,2.1463881336512465,0.46026919455772236,2.8215609334560368,0.006257737182834003,7600000.0,548074.0740740739,1.2906178322884088,1.3419737844694073,-0.0017118761212173471,0.0038162712236102557,0.7740606027746595
0.6,NOMINAL,0.0037799111843075384,0.20943951023931953,0.06981317007977318,0.0,False,,True,1.1819698592361565,2.5787225250374397,0.4834888783536753,4.072578797609979,0.007518217526754444,7600000.0,547753.0864197529,1.2355602939609378,1.2868379211041012,0.007408799213603263,0.003628888029295725,0.9197318915219246
0.7,NOMINAL,0.0058743062867008256,0.20943951023931953,0.08377580409572782,0.0,False,,True,1.5033772923011441,3.025192109521839,0.5109364051561688,5.6046903049961525,0.008819919652026824,7600000.0,547432.0987654319,1.179624442990145,1.229685987674237,0.005268246222424907,0.0006060600642759182,0.5437908674263898
0.8,NOMINAL,0.008387580409572548,0.20943951023931953,0.09773843811168247,0.0,False,,True,1.85961376043798,3.4888852482918886,0.542001090067412,7.454227638583343,0.010171849590759131,7600000.0,547111.1111111109,1.1235236218569344,1.1712368625805725,0.00641822081621242,0.001969359593360128,2.554223351933488
0.9,NOMINAL,0.011319733552922928,0.20943951023931953,0.11170107212763711,0.0,False,,True,2.2489465330402405,3.9728538725260485,0.5757639872946472,9.665320542433767,0.011582907301531173,7600000.0,546790.1234567899,1.0679814065781532,1.1122038883040115,0.009397228924118102,0.0019225046288048261,1.7669037533782173
1.0,NOMINAL,0.014670765716751966,0.20943951023931953,0.12566370614359174,0.0,False,,True,2.6694364478261488,4.479900093825146,0.6111011483980966,12.289319758714356,0.013061264533941479,7600000.0,546469.1358024689,1.0137096873437248,1.0533106408614012,0.018294351159488985,0.0036235854427370193,3.2190294035305893
