time_s,mode,aoa_rad,max_aoa_rad,command_rad,packet_loss,abort_requested,abort_requested_at,is_finite
0.0,NOMINAL,-0.0003098161570211273,0.20943951023931953,-0.0,0.0,False,,True
0.1,NOMINAL,-0.0013811742360094836,0.20943951023931953,0.00040276100412746553,0.0,False,,True
0.2,NOMINAL,-0.002580278742514988,0.20943951023931953,0.0017955265068123288,0.0,False,,True
0.3,NOMINAL,-0.0015649042976638623,0.20943951023931953,0.0033543623652694844,0.0,False,,True
0.4,NOMINAL,-0.002924455433629615,0.20943951023931953,0.002034375586963021,0.0,False,,True
0.5,NOMINAL,-0.003890437377551444,0.20943951023931953,0.0038017920637184997,0.0,False,,True
0.6,NOMINAL,-0.005184885090799334,0.20943951023931953,0.005057568590816877,0.0,False,,True
0.7,NOMINAL,-0.007638645639692922,0.20943951023931953,0.006740350618039135,0.0,False,,True
0.8,NOMINAL,-0.010190455838550425,0.20943951023931953,0.0099302393316008,0.0,False,,True
0.9,NOMINAL,-0.01204432948642141,0.20943951023931953,0.013247592590115553,0.0,False,,True
1.0,NOMINAL,-0.01406410725898485,0.20943951023931953,0.015657628332347833,0.0,False,,True
1.1,NOMINAL,-0.014500783778701261,0.20943951023931953,0.018283339436680306,0.0,False,,True
1.2,NOMINAL,-0.017485831556733927,0.20943951023931953,0.01885101891231164,0.0,False,,True
1.3,NOMINAL,-0.020893809531963077,0.20943951023931953,0.022731581023754107,0.0,False,,True
1.4,NOMINAL,-0.021477126688739467,0.20943951023931953,0.027161952391552002,0.0,False,,True
1.5,NOMINAL,-0.021933279000971508,0.20943951023931953,0.027920264695361307,0.0,False,,True
1.6,NOMINAL,-0.024719524184642513,0.20943951023931953,0.028513262701262962,0.0,False,,True
1.7,NOMINAL,-0.02624862191175154,0.20943951023931953,0.03213538144003527,0.0,False,,True
1.8,NOMINAL,-0.02836919133973441,0.20943951023931953,0.034123208485277,0.0,False,,True
1.9,NOMINAL,-0.030727004996518866,0.20943951023931953,0.03687994874165473,0.0,False,,True
2.0,NOMINAL,-0.035511207911143663,0.20943951023931953,0.03994510649547453,0.0,False,,True
2.1,NOMINAL,-0.04071054321764627,0.20943951023931953,0.04616457028448676,0.0,False,,True
2.2,NOMINAL,-0.04411521366813133,0.20943951023931953,0.05292370618294016,0.0,False,,True
2.3,NOMINAL,-0.046792612928337446,0.20943951023931953,0.057349777768570726,0.0,False,,True
2.4,NOMINAL,-0.05165564686345088,0.20943951023931953,0.06083039680683868,0.0,False,,True
2.5,NOMINAL,-0.058849571052583725,0.20943951023931953,0.06715234092248615,0.0,False,,True
2.6,NOMINAL,-0.06458165993194541,0.20943951023931953,0.07650444236835885,0.0,False,,True
2.7,NOMINAL,-0.0701504921644554,0.20943951023931953,0.08395615791152904,0.0,False,,True
2.8,NOMINAL,-0.07765258744311077,0.20943951023931953,0.09119563981379203,0.0,False,,True
2.9,NOMINAL,-0.08622898336939248,0.20943951023931953,0.100948363676044,0.0,False,,True
3.0,NOMINAL,-0.09495001097132717,0.20943951023931953,0.11209767838021023,0.0,False,,True
3.1,NOMINAL,-0.10367610201359756,0.20943951023931953,0.12343501426272532,0.0,False,,True
3.2,NOMINAL,-0.11310123746979811,0.20943951023931953,0.13477893261767684,0.0,False,,True
3.3,NOMINAL,-0.12471299278582823,0.20943951023931953,0.14703160871073756,0.0,False,,True
3.4,NOMINAL,-0.13658816811593794,0.20943951023931953,0.1621268906215767,0.0,False,,True
3.5,NOMINAL,-0.1499388649712086,0.20943951023931953,0.1775646185507193,0.0,False,,True
3.6,NOMINAL,-0.1657879596954705,0.20943951023931953,0.1949205244625712,0.0,False,,True
3.7,NOMINAL,-0.18408919023149659,0.20943951023931953,0.21552434760411165,0.0,False,,True
3.8,NOMINAL,-0.2044076392434565,0.20943951023931953,0.23931594730094558,0.0,False,,True
3.9,NOMINAL,-0.22368889568670947,0.20943951023931953,0.2617993877991494,0.0,True,3.9,True
4.0,NOMINAL,-0.24479983243882247,0.20943951023931953,0.2617993877991494,0.0,True,3.9,True
4.1,NOMINAL,-0.266683432310268,0.20943951023931953,0.2617993877991494,0.0,True,3.9,True
4.2,NOMINAL,-0.28902309731558956,0.20943951023931953,0.2617993877991494,0.0,True,3.9,True
4.3,NOMINAL,-0.31030007104047486,0.20943951023931953,0.2617993877991494,0.0,True,3.9,True
4.4,NOMINAL,-0.33022770809775903,0.20943951023931953,0.2617993877991494,0.0,True,3.9,True
4.5,NOMINAL,-0.35282068320487275,0.20943951023931953,0.2617993877991494,0.0,True,3.9,True
4.6,ABORT,-0.36410271631706076,0.20943951023931953,0.2617993877991494,0.0,True,3.9,True
4.7,ABORT,-0.4024188237603491,0.20943951023931953,0.2617993877991494,0.0,True,3.9,True
4.8,ABORT,-0.4368010567119236,0.20943951023931953,0.2617993877991494,0.0,True,3.9,True
4.9,ABORT,-0.47371570700354154,0.20943951023931953,0.2617993877991494,0.0,True,3.9,True
5.0,ABORT,-0.5078216074088321,0.20943951023931953,0.2617993877991494,0.0,True,3.9,True
