time_s,mode,aoa_rad,max_aoa_rad,command_rad,packet_loss,abort_requested,abort_requested_at,is_finite,altitude_m,velocity_m_s,acceleration_g,dynamic_pressure_Pa,mach,thrust_N,mass_kg,pitch_rad,flight_path_angle_rad,estimated_aoa_rad,estimation_error_rad,kf_innovation
0.0,NOMINAL,9.999999999621423e-06,0.20943951023931953,-0.013962634015954637,0.0,False,,True,0.050101848436767495,0.1,0.4094006811077058,0.006125000000000001,0.0002915451895043732,7600000.0,549679.012345679,1.531790823045118,1.570786326794897,0.007725505160892187,0.007715505160892566,3.288667036891315
0.1,NOMINAL,-0.000408879020479036,0.20943951023931953,0.0,0.0,False,,True,0.1402945335652981,0.5013918996240161,0.41248881201204246,0.15397781756822376,0.0014617847899745914,7600000.0,549358.024691358,1.4893705715013577,1.532199702065597,0.00040426393826950915,0.0008131429587485452,1.1049629856552778
0.2,NOMINAL,-0.000408879020479036,0.20943951023931953,0.013962634015954637,0.0,False,,True,0.2704492879623589,0.9048949723130489,0.4184510568849876,0.5015281050272533,0.002638181936476766,7600000.0,549037.037037037,1.443573192518521,1.4897794505218367,0.0017917643957570438,0.00220064341623608,1.3019311098456374
0.3,NOMINAL,9.999999999621423e-06,0.20943951023931953,0.027925268031909273,0.0,False,,True,0.4402797867626381,1.3121539757874052,0.4281037305457683,1.0545371310713012,0.0038255334647591894,7600000.0,548716.049382716,1.3946607089228673,1.4435631925185213,0.0025794175640241057,0.0025694175640244843,0.49254255438875294
0.4,NOMINAL,0.0008477580409569363,0.20943951023931953,0.04188790204786391,0.0,False,,True,0.6493026117018794,1.72525470804116,0.4421325929604855,1.8230141519226395,0.00502992208631929,7600000.0,548395.0617283949,1.3429980336048841,1.3938129508819104,-0.0015609684612252666,0.002408726502182203,0.03480206991811547
0.5,NOMINAL,0.0021043951023929086,0.20943951023931953,0.05585053606381855,0.0,False,,True,0.8968013285812054,2.1467112816816476,0.4608570113370954,2.8224106046583333,0.006258679309974056,7600000.0,548074.0740740739,1.289134629761029,1.3408936385024912,-0.004507689934587104,0.006612085036980013,1.5310444280963358
0.6,NOMINAL,0.0037799111843075384,0.20943951023931953,0.06981317007977318,0.0,False,,True,1.1818006561308025,2.579354566969663,0.4844224313161656,4.074575449071442,0.007520060226515758,7600000.0,547753.0864197529,1.2336235928045227,1.2853547185767216,0.0036063917911267965,0.0001735193931807419,1.0535845243104416
0.7,NOMINAL,0.0058743062867008256,0.20943951023931953,0.08377580409572782,0.0,False,,True,1.5030510997535838,3.026324679467833,0.5123260898157228,5.608887764645356,0.00882322163240386,7600000.0,547432.0987654319,1.177186165570412,1.227749286517822,0.005530382725600984,0.0003439235610998414,0.6446869314154015
0.8,NOMINAL,0.008387580409572548,0.20943951023931953,0.09773843811168247,0.0,False,,True,1.8590322737777503,3.4907856844157523,0.5439381772915707,7.4623509446254435,0.010177390277365505,7600000.0,547111.1111111109,1.1205480960161902,1.1687985851608393,0.00982661665866591,0.0014390362490933617,0.9396988164930272
0.9,NOMINAL,0.011319733552922928,0.20943951023931953,0.11170107212763711,0.0,False,,True,2.2479730570062073,3.975864926620744,0.5781837039253231,9.679977586448162,0.011591685993002691,7600000.0,546790.1234567899,1.0644795145755035,1.1092283624632673,0.005872556277699877,0.005447177275223051,2.420933817718915
